player_id,name,team_id,team_name,total_match,catches,caught_behind,run_outs,assist_run_outs,stumpings,caught_and_bowl,total_catches,total_dismissal
38588314,Vedant Zalke,9491502,Mighty Titans,2,1,0,0,0,0,0,1,1
38703264,Selvakumar Selvaraj,7424272,Freizeit CC,2,1,0,0,0,0,0,1,1
53859,Krunal Raval,9434097,Darebulls,3,1,0,0,0,0,0,1,1
331878,Ankit Tomar,7415121,MSC Achievers 11,3,1,0,0,0,0,0,1,1
3139022,Essakki,7415125,Sulzbach XI,3,0,0,1,0,0,0,0,1
5537154,Anik Mishu,8007462,SV Tigers am Main,3,0,0,0,0,0,1,1,1
5561804,Hossen Ali,8007462,SV Tigers am Main,3,0,0,0,0,0,1,1,1
5657923,Hari P,7415125,Sulzbach XI,3,1,0,0,0,0,0,1,1
5677576,Sumanth Pulluru,2623314,TSV Darmstadt United,3,1,0,0,0,0,0,1,1
5828523,Kuncham Manojkumar,6290732,TSV Frankfurt Garuda,3,1,0,0,1,0,0,1,1
6798691,Gabru,806595,Juggernaut Cricket Club,3,1,0,0,0,0,0,1,1
10263095,Khandaker Mosaddik Bin Hafiz,8007462,SV Tigers am Main,3,0,0,1,0,0,0,0,1
10359969,Amanullah Khan,9434097,Darebulls,3,1,0,0,0,0,0,1,1
11053192,Deep Shah,7424272,Freizeit CC,3,1,0,0,0,0,0,1,1
11902845,Jomon,6941365,Karlsruhe Knights,3,0,0,1,0,0,0,0,1
12348270,Puneeth Kempagowda,3642022,FCC Friends XI,3,1,0,0,0,0,0,1,1
15515387,Ali Khalid,7437938,FalconsXI,3,1,0,0,0,0,0,1,1
20712849,Shubham Bhatt,4220557,TSGN Royal Warriors,3,1,0,0,0,0,0,1,1
20843255,Harsh Patel,4220557,TSGN Royal Warriors,3,0,0,1,0,0,0,0,1
21909400,Raghu,7415125,Sulzbach XI,3,1,0,0,0,0,0,1,1
21938341,Roshan,7415125,Sulzbach XI,3,1,0,0,0,0,0,1,1
22141206,Karthik Chickel,7415125,Sulzbach XI,3,1,0,0,0,0,0,1,1
22371420,Ravi Gangula Dbag,4674227,BlueWings,3,0,0,1,0,0,0,0,1
22372347,Harish Kumar Pula,4674227,BlueWings,3,0,1,0,0,0,0,1,1
22378241,Raju Palakurla,4674227,BlueWings,3,0,0,1,0,0,0,0,1
23500576,Hira Sarkar,8007462,SV Tigers am Main,3,1,0,0,0,0,0,1,1
23665358,Balaji Ramaraj,6290732,TSV Frankfurt Garuda,3,1,0,0,1,0,0,1,1
26421588,Priyank,9491502,Mighty Titans,3,1,0,0,0,0,0,1,1
27926870,Senthil Kumaran,6269379,TGS Rising Challengers,3,1,0,0,0,0,0,1,1
27926874,Balaji Sevanan,6269379,TGS Rising Challengers,3,1,0,0,0,0,0,1,1
28523657,Nikhil Narottam,6269379,TGS Rising Challengers,3,0,0,1,0,0,0,0,1
30369007,Shubham Thakur,9434097,Darebulls,3,1,0,0,0,0,0,1,1
30491637,Fahim Talukdar,8007462,SV Tigers am Main,3,1,0,0,0,0,0,1,1
31627748,Aakash Parmar,4220557,TSGN Royal Warriors,3,0,0,1,0,0,0,0,1
31627751,Suhas Rao,9435425,SG Malchen,3,1,0,0,0,0,0,1,1
31704641,Mohit Maverick,9390582,TSGN Royal Lions,3,1,0,0,1,0,0,1,1
31705966,Aniket Chatterjee,430802,Tgs Indian Challengers,3,1,0,0,0,0,0,1,1
31713340,Muzammil Khan,7442593,AMU Sultans,3,0,1,0,0,0,0,1,1
31718657,Nitish Kashyap,9436054,RCB,3,0,0,1,0,0,0,0,1
31732595,Saksham Gupta,2204871,MSC Black Bears,3,1,0,0,0,0,0,1,1
31742571,Venkatesh Sanem,6290732,TSV Frankfurt Garuda,3,1,0,0,0,0,0,1,1
31775739,Siddhesh Patil,9491502,Mighty Titans,3,1,0,0,0,0,0,1,1
31908427,Nithish Kumar,9436054,RCB,3,1,0,0,0,0,0,1,1
31976575,Khalid Khan,9434097,Darebulls,3,1,0,0,0,0,0,1,1
31982831,Anoop Kiran,7356382,SPVGG Dragons,3,1,0,0,0,0,0,1,1
33436899,Peter Paul,7989971,Mainz Cricket Club,3,1,0,0,0,0,0,1,1
33438131,Sujeesh,7989971,Mainz Cricket Club,3,0,0,0,0,0,1,1,1
33438133,Arun James,7989971,Mainz Cricket Club,3,1,0,0,0,0,0,1,1
33447676,Dantas,7989971,Mainz Cricket Club,3,1,0,0,0,0,0,1,1
33447681,Jomon,7989971,Mainz Cricket Club,3,1,0,0,0,0,0,1,1
38212866,Mayank Panchal,9390582,TSGN Royal Lions,3,1,0,0,0,0,0,1,1
38213498,Sahil Vashishtha,9390582,TSGN Royal Lions,3,0,0,0,0,0,1,1,1
38376536,Rahul Cricket Germany,9436054,RCB,3,1,0,0,0,0,0,1,1
38608337,Hamed Urakheil,2114868,SVS Frankfurt Eagles,3,1,0,0,0,0,0,1,1
38619543,Manoharan Thambi,7424272,Freizeit CC,3,1,0,0,0,0,0,1,1
38929965,Madhusudan Gowda,9435425,SG Malchen,3,1,0,0,0,0,0,1,1
38929967,Chandan Gururaj,9435425,SG Malchen,3,1,0,0,0,0,0,1,1
38929969,Suhas Balaji,9435425,SG Malchen,3,0,1,0,0,0,0,1,1
39037388,Jitendra Balwada,9436054,RCB,3,1,0,0,0,0,0,1,1
2914293,Jibin M John,2114868,SVS Frankfurt Eagles,4,0,0,1,0,0,0,0,1
2944837,Mandeep Singh Sandhu,7437045,Hawk Hunters,4,0,0,1,0,0,0,0,1
3279200,Nitin Tyagi,806595,Juggernaut Cricket Club,4,1,0,0,0,0,0,1,1
3279377,Akhil Bhadran,6941365,Karlsruhe Knights,4,1,0,0,0,0,0,1,1
5630537,Chandrasekharan Rajendran,430654,Royal Strikers FFM,4,1,0,0,0,0,0,1,1
6387587,Akshay Natarajan,430654,Royal Strikers FFM,4,0,0,0,0,0,1,1,1
9332441,Indrajit,6941365,Karlsruhe Knights,4,1,0,0,1,0,0,1,1
10104777,Sainava Teja,430802,Tgs Indian Challengers,4,0,0,1,0,0,0,0,1
12765272,Vinayak Pattanshetti,9428609,Hanau Pioneers,4,1,0,0,0,0,0,1,1
12790718,Mit Donda,1517508,Frankfurt Spartans Cricket Club,4,1,0,0,0,0,0,1,1
12822789,Anish Sachdeva,3793721,Trebur Cricket Club,4,1,0,0,0,0,0,1,1
13504911,Muneeb Ullah,3793721,Trebur Cricket Club,4,1,0,0,0,0,0,1,1
22669915,Sutharsan,6941365,Karlsruhe Knights,4,1,0,0,0,0,0,1,1
27869378,Prasoon Verma,1517508,Frankfurt Spartans Cricket Club,4,1,0,0,0,0,0,1,1
28007346,Allen Cutinha,3793721,Trebur Cricket Club,4,1,0,0,0,0,0,1,1
30903514,Srinivasan Rs,6941365,Karlsruhe Knights,4,1,0,0,0,0,0,1,1
31713325,Haseeb Khan,7442593,AMU Sultans,4,1,0,0,0,0,0,1,1
31713335,Atif Beg,7442593,AMU Sultans,4,1,0,0,0,0,0,1,1
31950672,Justin Jose,2114868,SVS Frankfurt Eagles,4,1,0,0,0,0,0,1,1
32060897,Rajesh Bura,3642022,FCC Friends XI,4,1,0,0,0,0,0,1,1
33987148,Shery Ahmed,7437045,Hawk Hunters,4,1,0,0,0,0,0,1,1
36842617,Abbas Abasin,9304922,Wetzlar Sixers,4,1,0,0,0,0,0,1,1
38357660,Milind Dange,9428609,Hanau Pioneers,4,0,0,1,0,0,0,0,1
3279362,Sudeept Jaiswal,430802,Tgs Indian Challengers,5,1,0,0,0,0,0,1,1
5894321,Atiq Awan,3642022,FCC Friends XI,5,1,0,0,0,0,0,1,1
12803324,Lovdeep Gothra,7437045,Hawk Hunters,5,1,0,0,0,0,0,1,1
